Name,Market-Cap,Price-to-Earnings,Price-to-Book,Current-Ratio,Financial-Position,Uninterupted-Divs,Ten-year-growth,No-Earnings-Deficit
DexCom,37.338B,74.18,19.62,5.70,true,N/A,true,false
Diamondback Energy,14.792B,N/A,1.47,0.49,false,N/A,false,false
Digital Realty Trust Inc,43.42B,98.73,2.60,0.84,false,true,false,true
Discover Financial Services,34.923B,12.82,2.87,1.35,true,false,true,true
Discovery Inc. (Series A),17.545B,33.72,2.28,1.87,N/A,N/A,false,false
Discovery Inc. (Series C),17.545B,28.93,1.96,1.87,false,N/A,false,false
Dish Network,23.612B,11.55,1.73,1.12,false,false,false,true
Dollar General,51.382B,20.22,7.76,1.21,false,false,true,true
Dollar Tree,26.888B,20.34,3.68,1.35,false,N/A,false,false
Dominion Energy,64.4B,N/A,2.71,0.63,false,false,false,false
Domino's Pizza,16.387B,34.28,N/A,1.85,N/A,false,true,true
Dover Corporation,21.472B,29.26,6.14,1.59,N/A,false,false,true
Dow Inc.,46.687B,23.61,3.33,1.69,N/A,false,true,false
DTE Energy Co.,27.126B,19.03,2.16,1.69,N/A,true,true,true
Duke Energy,77.452B,58.57,1.68,0.53,N/A,true,false,true
Duke Realty Corp,17.388B,48.31,3.36,2.66,false,false,true,false
DuPont de Nemours Inc,41.217B,N/A,1.47,2.32,false,false,false,false
DXC Technology,8.379B,N/A,1.48,1.10,false,false,false,false
Eastman Chemical,15.753B,31.97,2.60,N/A,N/A,true,true,true
Eaton Corporation,56.938B,40.95,3.81,1.56,false,false,true,true
eBay Inc.,38.008B,13.53,10.08,1.30,false,false,true,false
Ecolab Inc.,64.116B,N/A,10.19,1.81,false,false,false,false
Edison Int'l,22.558B,27.51,1.60,0.56,false,false,true,false
Edwards Lifesciences,59.379B,70.81,12.75,3.84,true,false,true,true
Electronic Arts,40.866B,35.12,5.15,2.21,N/A,false,true,false
Emerson Electric Company,54.297B,26.19,6.08,1.21,false,true,false,true
Enphase Energy,18.896B,206.91,25.78,5.20,true,N/A,true,false
Entergy Corp.,21.927B,13.71,1.99,1.06,false,true,false,false
EOG Resources,42.98B,N/A,2.12,1.69,false,false,true,false
Equifax Inc.,27.898B,46.49,8.41,0.71,false,false,false,false
Equinix,64.562B,158.20,6.09,1.55,false,false,true,false
Equity Residential,27.682B,41.87,2.69,0.16,N/A,false,false,true
Essex Property Trust Inc.,18.883B,44.85,3.13,1.19,N/A,true,true,true
Estée Lauder Companies,113.834B,124.18,20.99,1.90,false,false,true,true
Etsy,25.266B,73.87,33.69,4.17,true,N/A,true,false
Everest Re Group Ltd.,11.122B,13.18,1.15,1.66,false,N/A,true,false
Evergy,14.663B,23.52,1.66,0.69,N/A,false,true,true
Eversource Energy,29.601B,24.29,2.10,0.64,false,false,true,true
Exelon Corp.,43.896B,22.36,1.35,0.98,false,false,false,true
Expedia Group,25.894B,N/A,16.76,1.04,false,false,false,false
Expeditors,18.533B,26.99,6.99,2.09,true,false,true,true
Extra Space Storage,19.878B,33.63,6.80,0.33,false,false,true,true
Exxon Mobil Corp.,242.327B,N/A,1.54,0.80,false,false,false,false
F5 Networks,11.215B,41.59,5.59,1.01,true,N/A,true,true
Facebook Inc.,923.125B,27.84,6.91,6.08,true,N/A,true,true
Fastenal Co,30.033B,34.62,10.78,3.95,true,false,true,true
Federal Realty Investment Trust,8.768B,69.65,3.76,1.55,false,false,true,true
FedEx Corporation,77.031B,25.56,3.50,1.60,false,false,true,true
Fidelity National Information Services,95.122B,611.60,1.92,0.80,false,N/A,false,true
Fifth Third Bancorp,28.848B,14.89,1.41,N/A,true,false,true,true
First Republic Bank,31.926B,28.62,2.99,N/A,N/A,false,true,true
FirstEnergy Corp,20.625B,15.36,2.80,0.69,false,true,false,false
Fiserv Inc,80.092B,94.14,2.51,1.03,false,N/A,true,true
FleetCor Technologies Inc,24.001B,35.43,7.17,1.00,false,N/A,true,true
FLIR Systems,7.878B,37.48,4.18,2.80,true,false,false,true
Flowserve Corporation,5.176B,44.54,2.98,2.54,N/A,false,false,true
FMC Corporation,15.313B,28.00,5.16,1.55,false,false,true,true
Ford Motor Company,46.058B,11.61,1.36,1.21,false,false,false,false
Fortinet,33.353B,69.09,33.94,2.01,true,N/A,true,true
Fortive Corp,23.972B,15.13,2.66,1.13,false,false,true,true
Fortune Brands Home & Security,14.532B,23.69,5.05,1.96,false,false,true,false
Fox Corporation (Class A),21.832B,14.81,2.03,3.81,N/A,false,true,true
Fox Corporation (Class B),21.832B,14.40,1.97,3.81,N/A,N/A,true,true
Franklin Resources,15.162B,19.26,1.46,3.30,false,false,false,true
Freeport-McMoRan Inc.,55.23B,30.81,5.17,2.35,false,false,false,false
Gap Inc.,12.41B,N/A,4.74,1.55,false,false,false,false
Garmin Ltd.,26.37B,25.10,4.61,3.81,true,false,true,true
